created_at,pickup_zone,id,hashed_id,rider_id,driver_id,fare,estimated_fare,undiscounted_fare,ride_duration,estimated_ride_duration,status,rating,canceled_by,drivers_tried,driver_cut,city_id,ride_type,surge_multiple,hotzones_bonus
27/10/21,Ahmednagar,142544268,9TD3IS,29954,2601854,173,173,173,974,895,COMPLETED,5,,"2752609,2601854,",129,2,2,1,0
24/10/21,Ahmednagar,142074718,9SPLR8,2595279,7417701,159,134,159,1012,578,COMPLETED,,,"3123218,7417701,",119,2,2,1.1,11
25/10/21,Akola,142266096,9T2OGG,933860,1072787,140,132,140,2213,1123,COMPLETED,,,"1072787,",104,2,1,1,0
27/10/21,Bandara,142503493,9TBI9N,1944830,2171519,112,110,112,1349,936,COMPLETED,5,,"2171519,",83,2,1,1,0
25/10/21,Ahmednagar,142214071,9T0QMB,431906,7107088,152,124,152,5657,1051,COMPLETED,,,"7107088,",113,2,1,0.9,-10.3
26/10/21,Bandara,142383113,9T74H3,1979836,3141439,80,108,114,1575,753,COMPLETED,5,,"4101894,3141439,",85,2,1,1.1,8
27/10/21,Ahmednagar,142548891,9TD8N1,260385,5016192,48,48,48,341,370,COMPLETED,5,,"5016192,",36,2,1,0.9,-4
24/10/21,Mumbai City,142061632,9SP7B2,4088383,2961666,96,96,96,1007,790,COMPLETED,4,,"4415721,2961666,",71,2,1,0.9,-8
26/10/21,Chandrapur,142296224,9T3S0O,412851,2125981,798,798,798,3485,3352,COMPLETED,2,,"2125981,",598,2,2,1.4,171
27/10/21,Kholapur,142471783,9TAD2N,774823,8163909,47,46,47,642,460,COMPLETED,,,"8163909,",35,2,1,0.9,-3.8
30/10/21,Ahmednagar,142887769,9TPP8T,7119514,6715042,113,111,113,1060,716,COMPLETED,,,"8662162,5397101,6715042,",84,2,1,1.1,8
25/10/21,Bandara,142199884,9T0ATE,397564,6282616,28,40,40,408,333,COMPLETED,5,,"4459435,4415721,6282616,",29,2,1,0.9,-3.3
25/10/21,Mumbai City,142237262,9T1MFC,1980630,8268926,155,155,155,807,638,COMPLETED,,,"8268926,",115,2,2,1.1,11
26/10/21,Ahmednagar,142388932,9T7B12,1169570,4610869,233,171,233,2097,861,COMPLETED,,,"2030458,4610869,",174,2,2,1,0
